Name	FormID	Plugin	Casteffect	GCD	Cooldown	Casttime	Animation
Bound Dagger	0x01ce06	Dragonborn.esm	ConjurationSummon	-1	-1	-1	8
Bound Sword	0x0211eb	Skyrim.esm	ConjurationSummon	-1	-1	-1	8
Conjure Familiar	0x0640b6	Skyrim.esm	ConjurationSummon	-1	-1	-1	3
Conjure Skeleton Minion	0x00085B	ccVSVSSE003-NecroArts.esl	ConjurationSummon	-1	-1	-1	3
Conjure Undying Ghost	0x00085E	ccVSVSSE003-NecroArts.esl	ConjurationSummon	-1	-1	-1	3
Conjure Zombie	0x000804	ccbgssse003-zombies.esl	ConjurationSummon	-1	-1	-1	3
Raise Zombie	0x07E8E1	Skyrim.esm	ConjurationSummon	-1	-1	-1	4
Bound Battleaxe	0x0211EC	Skyrim.esm	ConjurationSummon	-1	-1	-1	2
Conjure Boneman	0x0045ba	Dawnguard.esm	ConjurationSummon	-1	-1	-1	3
Conjure Flame Atronach	0x0204C3	Skyrim.esm	ConjurationSummon	-1	-1	-1	3
Conjure Foul Zombie	0x000806	ccbgssse003-zombies.esl	ConjurationSummon	-1	-1	-1	3
Conjure Haunting Spirit	0x000868	ccVSVSSE003-NecroArts.esl	ConjurationSummon	-1	-1	-1	3
Conjure Skeleton Marksman	0x000856	ccVSVSSE003-NecroArts.esl	ConjurationSummon	-1	-1	-1	3
Flaming Familiar	0x09CE26	Skyrim.esm	ConjurationSummon	-1	-1	-1	3
Reanimate Corpse	0x065BD7	Skyrim.esm	ConjurationSummon	-1	-1	-1	4
Soul Split	0x000874	ccVSVSSE003-NecroArts.esl	ConjurationSummon	-1	-1	-1	1
Soul Trap	0x04DBA4	Skyrim.esm	ConjurationSummon	-1	-1	-1	11
Summon Arvak	0x00c600	Dawnguard.esm	ConjurationSummon	-1	-1	-1	3
Summon Daedric Horse	0x000B62	ccbgssse067-daedinv.esm	ConjurationSummon	-1	-1	-1	3
Banish Daedra	0x06D22C	Skyrim.esm	ConjurationSummon	-1	-1	-1	3
Banish Undead	0x00086A	ccVSVSSE003-NecroArts.esl	ConjurationSummon	-1	-1	-1	3
Bound Bow	0x0211ED	Skyrim.esm	ConjurationSummon	-1	-1	-1	8
Bound Quiver	0x00080C	ccbgssse002-exoticarrows.esl	ConjurationSummon	-1	-1	-1	8
Conjure Ash Spawn	0x01cdf6	Dragonborn.esm	ConjurationSummon	-1	-1	-1	3
Conjure Dark Seducer Archer	0x000870	ccbgssse025-advdsgs.esm	ConjurationSummon	-1	-1	-1	3
Conjure Dark Seducer Warrior	0x000A0B	ccbgssse025-advdsgs.esm	ConjurationSummon	-1	-1	-1	3
