Name	FormID	Plugin	Casteffect	GCD	Cooldown	Casttime	Animation
Astral Bite	0x000835	Astral.esl	RestorationBlue	-1	-1	-1	4
Astral Blitz	0x000836	Astral.esl	RestorationBlue	-1	-1	-1	13
Astral Crash	0x00083F	Astral.esl	RestorationBlue	-1	-1	-1	13
Astral Flare	0x00083C	Astral.esl	RestorationBlue	-1	-1	-1	5
Astral Light	0x000830	Astral.esl	RestorationBlue	-1	-1	-1	5
Astral Rune	0x000834	Astral.esl	RestorationBlue	-1	-1	-1	3
Astral Shield	0x0008DE	Astral.esl	RestorationBlue	-1	-1	-1	0
Astral Shower	0x000847	Astral.esl	RestorationBlue	-1	-1	-1	13
Astral Spear	0x000844	Astral.esl	RestorationBlue	-1	-1	-1	7
Astral Strike	0x000831	Astral.esl	RestorationBlue	-1	15s	1.75	13
Astral Wave	0x000837	Astral.esl	RestorationBlue	-1	-1	-1	5
Greater Astral Bite	0x000838	Astral.esl	RestorationBlue	-1	-1	-1	4
Greater Astral Blitz	0x000841	Astral.esl	RestorationBlue	-1	-1	-1	13
Greater Astral Flare	0x000840	Astral.esl	RestorationBlue	-1	-1	-1	5
Greater Astral Light	0x0008D1	Astral.esl	RestorationBlue	-1	-1	-1	5
Greater Astral Spear	0x000845	Astral.esl	RestorationBlue	-1	-1	-1	7
Greater Astral Wave	0x00083A	Astral.esl	RestorationBlue	-1	-1	-1	5
Pure Astral Bite	0x000839	Astral.esl	RestorationBlue	-1	-1	-1	4
Pure Astral Blitz	0x000842	Astral.esl	RestorationBlue	-1	-1	-1	13
Pure Astral Flare	0x000843	Astral.esl	RestorationBlue	-1	-1	-1	5
Pure Astral Light	0x0008D2	Astral.esl	RestorationBlue	-1	-1	-1	5
Pure Astral Spear	0x000846	Astral.esl	RestorationBlue	-1	-1	-1	7
Pure Astral Wave	0x00083B	Astral.esl	RestorationBlue	-1	-1	-1	5
Astral Bite	0x0008D9	Astral.esl	RestorationBlue	-1	-1	-1	4
